organization,service_type,address,city,state,country,postcode,latitude,longitude,public_telephone
Dr Wagih Makarie,General practice service,16 Frederick Street,ROCKDALE,NSW,AUS,2216,-33.95269775390625,151.13519287109375,
Optimum Intake Dietitians - WALLSEND,Dietetics service,"Myrtle Oak Clinic,1,116 Nelson Street",WALLSEND,NSW,AUS,2287,-32.901557,151.669798,
Dr Kerry Pincombe - Psychiatry,Psychology service,2 Aveland Avenue,TRINITY GARDENS,SA,AUS,5068,-34.91387176513672,138.6443328857422,
Metropol Doctors @ Carindale,General practice service,"Metropol Shopping Centre,Shop 12,742 Creek Rd",CARINDALE,QLD,AUS,4152,-27.518218,153.096755,
Nannup Medical Centre,General practice service,"Unit 4,54 Warren Road",NANNUP,WA,AUS,6275,-33.980039,115.764095,
Chemist Warehouse Ludmilla,Pharmacy service,187 Bagot Road,LUDMILLA,NT,AUS,0820,-12.409387,130.85575,
Practice Of Dr Luba Eikens,Physical and rehabilitation medicine service,"Suite 15,23 29 Hunter Street",HORNSBY,NSW,AUS,2077,-33.70323181152344,151.1002655029297,
Rockingham Psychology,Psychology service,"Suite 4,18 Council Avenue",ROCKINGHAM,WA,AUS,6168,-32.29119,115.745868,
Dr P W Brown - General Practice,General practice service,598 Crown Street,SURRY HILLS,NSW,AUS,2010,-33.88985061645508,151.21337890625,
BBPilates+Physiotherapy,Physiotherapy service,8 Myrtle St,NORMANHURST,NSW,AUS,2076,-33.730677,151.090978,
Sport & Spine Physiotherapy,Physiotherapy service,563 Glebe Road,ADAMSTOWN,NSW,AUS,2289,-32.93484878540039,151.72808837890625,
John Meade Physiotherapy,Physiotherapy service,52 Desailly Street,SALE,VIC,AUS,3850,-38.1091194152832,147.064453125,
AB Physiotherapy,Physiotherapy service,"The Iceworks,Unit 1D,1 Norfolk Street",FREMANTLE,WA,AUS,6160,-32.058528900146484,115.74784851074219,
Sunshine Coast Sports Physiotherapy (Health Adventure),Physiotherapy service,"Level 1,22 Duke Street",SUNSHINE BEACH,QLD,AUS,4567,-26.405855178833008,153.10971069335938,
Strathmore Pharmacy,Pharmacy service,23 Woodland Street,ESSENDON,VIC,AUS,3040,-37.7435188293457,144.92605590820312,
Bumps Pilates,Physiotherapy service,1438 High Street,GLEN IRIS,VIC,AUS,3146,-37.858612060546875,145.04150390625,
Balmain Sports Medicine,Dietetics service,104 108 Victoria Road,ROZELLE,NSW,AUS,2039,-33.86469268798828,151.1710968017578,
Nelli Jackson,Exercise physiology service,191 Ramsay Street,HABERFIELD,NSW,AUS,2045,-33.87868118286133,151.13778686523438,
Lovell Psychology,Psychology service,7 Manchester Street,VICTORIA PARK,WA,AUS,6100,-31.978050581178756,115.89747717937449,
SUNSHINE BRIMBANK CLINIC,General practice service,33 Station Place,SUNSHINE,VIC,AUS,3020,-37.78911209106445,144.83421325683594,
Lockington & District Bush Nursing Centre,Palliative medicine service,31 Pannoo Road,LOCKINGTON,VIC,AUS,3563,-36.27170944213867,144.53114318847656,
Bonnie Crosthwaite - Psychology,Clinical psychology service,28 Sanford Street,GERALDTON,WA,AUS,6530,-28.77295,114.61372,
Benchmark Medical Sydney,General practice service,304-308 GEORGE STREET,SYDNEY,NSW,AUS,2000,-33.86588953,151.20761727,
Gulgong Medical Centre,Psychology service,102 Herbert Street,GULGONG,NSW,AUS,2852,-32.3636474609375,149.53297424316406,
Joanna Young Psychologist,Psychology service,448 St Kilda Road,MELBOURNE,VIC,AUS,3004,-37.8385009765625,144.97555541992188,
Meg Waters - Psychologist,Psychology service,"Suite 3,11 Richardson Street",SOUTH PERTH,WA,AUS,6151,-31.977588653564453,115.85018920898438,
Feldy Physio,Physiotherapy service,134 Cowper Street,FOOTSCRAY,VIC,AUS,3011,-37.807350158691406,144.90113830566406,
Dr Sylvia Tenisi,General practice service,"Suite 3,126 Great North Road",FIVE DOCK,NSW,AUS,2046,-33.866703033447266,151.1304168701172,
Mr Matthew McDonald,Neurosurgical service,270 Wakefield Street,ADELAIDE,SA,AUS,5000,-34.927650451660156,138.6106719970703,
Terry White Chemmart - Garran,Pharmacy service,"Canberra Hospital,Level 2 Building 2,Yamba Drive",GARRAN,ACT,AUS,2605,-35.35865783691406,149.10264587402344,
Debra Cush Therapy Centre,Physiotherapy service,"Level 1 Suite 2,22 Belgrave Street",KOGARAH,NSW,AUS,2217,-33.965118408203125,151.1341094970703,
EMMA HARDIE SPEECH PATHOLOGY,Speech and language therapy service,10 Pebble Beach Court,BELMONT,NSW,AUS,2280,-33.02574920654297,151.6424560546875,
Hughenden Doctors Surgery,General practice service,22 Brodie Street,HUGHENDEN,QLD,AUS,4821,-20.84351921081543,144.20196533203125,
headspace Coffs Harbour,Mental health service,45-53 Little Street,COFFS HARBOUR,NSW,AUS,2450,-30.298297882080078,153.1131591796875,
Somerville Doctors,General practice service,127 Eramosa Rd,SOMERVILLE,VIC,AUS,3912,-38.224169,145.189217,
Churchill Road Medical Centre,Dietetics service,209 Churchill Road,PROSPECT,SA,AUS,5082,-34.87934875488281,138.5848388671875,
Top Health Doctors Capalaba,Dietetics service,"Capalaba Park Shopping Centre,Shop 69-70,45 Redland Bay Road",CAPALABA,QLD,AUS,4157,-27.524214,153.190765,
The Lismore Clinic,General practice service,185 Molesworth Street,LISMORE,NSW,AUS,2480,-28.811565399169922,153.27359008789062,
Medical on Mary,General practice service,14 Mary Street,GYMPIE,QLD,AUS,4570,-26.190561294555664,152.66497802734375,
Emporio Pharmacy,Pharmacy service,2 Emporio Place,MAROOCHYDORE,QLD,AUS,4558,-26.65728729,153.08215979,
Oxford Pharmacy,Pharmacy service,1 OXFORD STREET,DARLINGHURST,NSW,AUS,2010,-33.8773224810585,151.212384188818,
Mosman Integrative Medicine,General practice service,4 Best Avenue,MOSMAN,NSW,AUS,2088,-33.83448028564453,151.25657653808594,
Dr Terence C Lim - Pain Management,Physical and rehabilitation medicine service,"North Eastern Rehabilitation Centre,134 144 Ford Street",IVANHOE,VIC,AUS,3079,-37.76369094848633,145.03147888183594,
Priceline Pharmacy - North Parramatta,Pharmacy service,"Shop 1,460 Church Street",NORTH PARRAMATTA,NSW,AUS,2151,-33.80512237548828,151.00607299804688,
Perenjori Medical Centre,General practice service,"Lot 74,Russell Street",PERENJORI,WA,AUS,6620,-29.440832138061523,116.2874755859375,
Dr Katya Kotschet - Neurologist,Neurology service,"St Vincent's Medical Centre Suite 8 Level 6,55 VICTORIA PARADE",FITZROY,VIC,AUS,3065,-37.80697129,144.97529944,
 Health First Rockhampton,Physiotherapy service,61 CLIFTON STREET,BERSERKER,QLD,AUS,4701,-23.35659295,150.5248905,
PROmotion Health,Physiotherapy service,9 Leura Avenue,CLAREMONT,WA,AUS,6010,-31.98194,115.78204,
In Balance Physio and Pilates,Physiotherapy service,"Suite 14,22 Darley Road",MANLY,NSW,AUS,2095,-33.799776,151.286844,
headspace Katherine,Mental health service,"Randazzo Centre,UNIT 1,16 Katherine Tce",KATHERINE SOUTH,NT,AUS,0850,-14.466361,132.263936,
GMT Psychology,Psychology service,"Unit 1,38 BURNETT STREET",MOOLOOLABA,QLD,AUS,4557,-26.68291466,153.11892588,
TREVALLYN PHARMACY,Pharmacy service,"Trevallyn Post Office,20 Gorge Road",TREVALLYN,TAS,AUS,7250,-41.43509292602539,147.11984252929688,
North East Clinic,Psychology service,335 Gorge Road,ATHELSTONE,SA,AUS,5076,-34.86977767944336,138.7023468017578,
Ochre Medical Centre Coonamble,General practice service,29 Tooloon Street,COONAMBLE,NSW,AUS,2829,-30.95195267948736,148.38974119761,
Wisdom Health,Psychology service,6 Richardson Street,WEST PERTH,WA,AUS,6005,-31.94916343688965,115.8409652709961,
Victorian Doctors Health Program,Psychology service,293 Royal Parade,PARKVILLE,VIC,AUS,3052,-37.786582946777344,144.95870971679688,
Bravo Health and Skin,General practice service,123 High Street,EAST MAITLAND,NSW,AUS,2323,-32.75135040283203,151.58905029296875,
Implexa Allied Health Services,Occupational therapy service,105 Lydiard Street,BALLARAT NORTH,VIC,AUS,3350,-37.55927658081055,143.85780334472656,
Dr Claire Rowe,General practice service,153- 154 Esplanade,COFFIN BAY,SA,AUS,5607,-34.621859,135.4658272,
Bingara Pharmacy,Pharmacy service,42 Maitland Street,BINGARA,NSW,AUS,2404,-29.868091583251953,150.57090759277344,
Scott Street Medical Centre,General practice service,33 Scott Street,MELTON,VIC,AUS,3337,-37.676795959472656,144.57528686523438,
Charleville Allied Health,Occupational therapy service,75 King Street,CHARLEVILLE,QLD,AUS,4470,-26.408960342407227,146.23765563964844,
Strategic Rehab,Exercise physiology service,204 Mona Vale Road,ST IVES,NSW,AUS,2075,-33.73001480102539,151.16067504882812,
Kiama Clinical Psychology,Clinical psychology service,"The Lighthouse Clinic,17 Railway Parade",KIAMA,NSW,AUS,2533,-34.67184066772461,150.85458374023438,
Dr Lori Cameron - GP,General practice service,370 Raglan Parade,WARRNAMBOOL,VIC,AUS,3280,-38.3861056,142.49875,
Associated Therapists Homebush,Psychology service,23 Bridge Road,HOMEBUSH,NSW,AUS,2140,-33.865142822265625,151.07815551757812,
Campbell Arnott's,Dietetics service,24 George Street,NORTH STRATHFIELD,NSW,AUS,2137,-33.86296463012695,151.08717346191406,
Specialists on Hand,Occupational therapy service,282 Pinjarra Road,MANDURAH,WA,AUS,6210,-32.53544998168945,115.7352294921875,
"Lowe, Sandy - Speech Pathologist",Speech and language therapy service,92 Coach Road,SKYE,SA,AUS,5072,-34.92717742919922,138.69451904296875,
Dr Simone Hughes- Creative Focus,Psychology service,56 Great Northern Highway,MIDLAND,WA,AUS,6056,-31.88361930847168,116.00704193115234,
Shortis & Timmins Pharmacy,Pharmacy service,75 Bathurst Street,CONDOBOLIN,NSW,AUS,2877,-33.088233947753906,147.14834594726562,
Nutrition Australia,Nutrition service,140 Royal Street,EAST PERTH,WA,AUS,6004,-31.95110321044922,115.87215423583984,
Balgowlah Pharmacy,Pharmacy service,361 Sydney Road,BALGOWLAH,NSW,AUS,2093,-33.79466247558594,151.2650604248047,
Foodwatch Pty Ltd,Dietetics service,18 Beaconsfield Parade,LINDFIELD,NSW,AUS,2070,-33.77877426147461,151.16664123535156,
Ballarto Medical Centre,General practice service,301-303 Ballarto Road,CARRUM DOWNS,VIC,AUS,3201,-38.11635208129883,145.19044494628906,
The Jamberoo Surgery,General medical service,65 Churchill Street,JAMBEROO,NSW,AUS,2533,-34.6432423,150.773302,
Tarneit Family Medical and Dental Centre,General practice service,937-941 Sayers Road,TARNEIT,VIC,AUS,3029,-37.84537124633789,144.65481567382812,
Mulgrave Physiotherapy,Physiotherapy service,5A Hartnett Close,MULGRAVE,VIC,AUS,3170,-37.92453605,145.14901142,
Peter's Pascoe Vale Chemist,Pharmacy service,448 Gaffney Street,PASCOE VALE,VIC,AUS,3044,-37.73002624511719,144.92767333984375,
Family Doctors Berala,Dietetics service,"Shop B,174 Woodburn Rd",BERALA,NSW,AUS,2141,-33.871778,151.030825,
Jim Wallace Pharmacy,Pharmacy service,"Shop 7,2 Marsden Road",ERMINGTON,NSW,AUS,2115,-33.806854248046875,151.06991577148438,
Deborah Farrell,Psychology service,"Level 11,118 Queen Street",MELBOURNE,VIC,AUS,3000,-37.815650939941406,144.9613037109375,
Sinead McCluskey,Dietetics service,40 Berripa Close,MACQUARIE PARK,NSW,AUS,2113,-33.80657958984375,151.12159729003906,
Sara-Jane Cleland,Nutrition service,14 Bundaroo Street,BOWRAL,NSW,AUS,2576,-34.47639465332031,150.4198760986328,
Belair Family Health Centre,Dietetics service,459 Belair Road,BELAIR,SA,AUS,5052,-34.99772644042969,138.6217803955078,
Glebe Medical Centre,Physiotherapy service,53 Glebe Point Road,GLEBE,NSW,AUS,2037,-33.88301086425781,151.19146728515625,
Blooms The Chemist - Rosanna,Pharmacy service,108 Lower Plenty Road,ROSANNA,VIC,AUS,3084,-37.74324417114258,145.06503295898438,
Amaroo Medical Community Clinic,General practice service,"Mareeba Hospital,21 Lloyd Street",MAREEBA,QLD,AUS,4880,-16.987014770507812,145.42449951171875,
Rose Cottage Medical Centre,Dietetics service,5 Innes Street,LAUNCESTON,TAS,AUS,7250,-41.42991638183594,147.14671325683594,
Narooma Physiotherapy Centre,Physiotherapy service,2 Tilba Street,NAROOMA,NSW,AUS,2546,-36.220279693603516,150.1333770751953,
Cheryl Ellison Physiotherapy,Physiotherapy service,68 Highland Terrace,ST LUCIA,QLD,AUS,4067,-27.501785278320312,152.9969940185547,
Advanced Hand Clinic,Physiotherapy service,"Kon-Tiki Building,55 Plaza Parade",MAROOCHYDORE,QLD,AUS,4558,-26.6553,153.0848,
The Brisbane Spine Clinic,Physiotherapy service,"Unit 2B,2-4 Flinders Parade",NORTH LAKES,QLD,AUS,4509,-27.231599,153.006535,
headspace Sarina,Mental health service,"SHOP 1,71 Broad St",SARINA,QLD,AUS,4737,-21.420613,149.216285,
In Home Support,Occupational therapy service,"Greek Home For The Aged,89 Hawker Street",RIDLEYTON,SA,AUS,5008,-34.8945426940918,138.57247924804688,
Mercy Care Young Health Service Physiotherapy Clinic,Physiotherapy service,"Mercy Care Centre,69 Demondrille Street",YOUNG,NSW,AUS,2594,-34.321197509765625,148.28880310058594,
Princess Alexandra Hospital - Aged Care Inpatients,Mental health service,"Princess Alexandra Hospital,199 Ipswich Road",WOOLLOONGABBA,QLD,AUS,4102,-27.499156951904297,153.03353881835938,
Rob Russell - Psychologist,Psychology service,"Carlton Cloctower,Suite 19,255 Drummond Street",CARLTON,VIC,AUS,3053,-37.79985427856445,144.96792602539062,
Talk To Me Speech Pathology,Speech and language therapy service,"Shop 9,4 Selems Parade",REVESBY,NSW,AUS,2212,-33.95085144042969,151.01528930664062,
Somerton Park Day and Night Medical Centre,General practice service,154 Brighton Road,SOMERTON PARK,SA,AUS,5044,-35.0213924,138.521241,
Waranwarin Early Childhood & Family Centre,General practice service,105 Townson Avenue,MINTO,NSW,AUS,2566,-34.036109924316406,150.84840393066406,
Ng Family Medical Practice,General practice service,"Suite 3,77 South Terrace",COMO,WA,AUS,6152,-31.988746643066406,115.86273193359375,
Alliance Medical Healthcare Centre,General practice service,"Shop 4,46-50 John Street",LIDCOMBE,NSW,AUS,2141,-33.86063003540039,151.04486083984375,
CBO Psychology,Psychology service,"Lavender House,37 William Street",BEAUDESERT,QLD,AUS,4285,-27.990663528442383,152.99940490722656,
Dartmoor And District Bush Nursing Centre,Palliative medicine service,"Bush Nursing Centre,28 Ascot Street",DARTMOOR,VIC,AUS,3304,-37.92425537109375,141.27540588378906,
Tina Wong - Epping Healthcare Centre,Dietetics service,"Epping Healthcare Centre,74 Rawson Street",EPPING,NSW,AUS,2121,-33.77171052,151.08061721,
Sonder Private Clinic,General practice service,"Suite 103A,14 Bruce Avenue",PARADISE POINT,QLD,AUS,4216,-27.88500213623047,153.39425659179688,
Eagle Heights Medical Centre,General practice service,"Shop 2,34 Southport Avenue",EAGLE HEIGHTS,QLD,AUS,4271,-27.922283172607422,153.2066192626953,
Sarah Dina Clinical Psychology,Clinical psychology service,550 CANNING HIGHWAY,ATTADALE,WA,AUS,6156,-32.03148866,115.81118891,
Peninsula Health - Frankston Community Health,Dietetics service,"Frankston Integrated Health Centre,2 HASTINGS ROAD",FRANKSTON,VIC,AUS,3199,-38.15038104,145.12862964,Yes
Remedy Healthcare (SA),Occupational therapy service,"Level 1,111 Gawler Place",ADELAIDE,SA,AUS,5000,-34.92531204223633,138.601806640625,
Move Therapy,Physiotherapy service,"Rockdale Plaza,Shop M2,1 Rockdale Plaza Drive",ROCKDALE,NSW,AUS,2216,-33.95820999145508,151.14012145996094,
Gin Gin Hospital - Speech Pathology Services,Speech and language therapy service,"Hospital,5 King Street",GIN GIN,QLD,AUS,4671,-24.986146926879883,151.95370483398438,
Practice of Dr James Antoniadis,Psychology service,"Suite 108,1 Princess Street",KEW,VIC,AUS,3101,-37.80706787109375,145.02841186523438,
Grow Medical Group,General practice service,2 BOOMERANG LOOP,BANKSIA GROVE,WA,AUS,6031,-31.69071703604726,115.81164697668632,
Physios of Mt Eliza,Physiotherapy service,88 MOUNT ELIZA WAY,MOUNT ELIZA,VIC,AUS,3930,-38.1842555,145.08877259,
Kenmore Family Medical Practice,General practice service,"Suite 1,2081 Moggill Road",KENMORE,QLD,AUS,4069,-27.509191513061523,152.93821716308594,
Human Herbivore,Dietetics service,Confidential Address,SYDNEY,NSW,AUS,2000,-33.86668395996094,151.21031188964844,
Dr Rozentals' Surgery,General practice service,323 Torrens Road,WEST CROYDON,SA,AUS,5008,-34.88249969482422,138.55999755859375,
Sigrid Cooper Musculoskeletal Physiotherapy,Physiotherapy service,96 Douglas Street,NOWRA,NSW,AUS,2541,-34.8808708190918,150.60108947753906,
Adelaide Paediatrics - Mile End,Physiotherapy service,71 Henley Beach Road,MILE END,SA,AUS,5031,-34.92384719848633,138.57200622558594,
Bass Hill Plaza Medical Centre,General practice service,"Bass Hill Plaza,Shop 34,753 Hume Highway",BASS HILL,NSW,AUS,2197,-33.899428,150.9912821,
Specialised Speech Services,Speech and language therapy service,Confidential Address,STRATFORD,QLD,AUS,4870,-16.8754061603002,145.731943330327,
Everyday Independence - Epping,Speech and language therapy service,40 Scanlon Drive,EPPING,VIC,AUS,3076,-37.64262390136719,144.9959716796875,
Deagon Family Medical Centre,General practice service,79 Braun Street,DEAGON,QLD,AUS,4017,-27.3298549375385,153.057404559502,
Gryphon Psychology - Dysart,Psychology service,21 Queen Elizabeth Drive,DYSART,QLD,AUS,4745,-22.590944290161133,148.34841918945312,
Proserpine Hospital - Occupational Therapy Service,Occupational therapy service,34 Taylor Street,PROSERPINE,QLD,AUS,4800,-20.399715423583984,148.58413696289062,
First Choice Spinal & Sports Physiotherapy,Physiotherapy service,33 Spurwood Road,WARRIMOO,NSW,AUS,2774,-33.726554,150.609296,
Aura and Body Centre,Dietetics service,98 Moray Street,SOUTH MELBOURNE,VIC,AUS,3205,-37.82918930053711,144.96131896972656,
John Bell Pharmacy,Pharmacy service,4-6 Oxford Street,WOOLLAHRA,NSW,AUS,2025,-33.8886184692382,151.23240661621,
Arthur Street Clinic,General practice service,75 Arthur Street,ST ALBANS,VIC,AUS,3021,-37.7309684753418,144.80880737304688,
Total Nutrition Dietitian,Dietetics service,"Ocean Wave Medical Centre,87 Bowman Road",CALOUNDRA,QLD,AUS,4551,-26.803272247314453,153.1205291748047,
Malanda Primary Health Clinic - Palliative Care Services,Palliative medicine service,"Shop 3,15 Catherine Street",MALANDA,QLD,AUS,4885,-17.353832244873047,145.59385681152344,
St Giles - Launceston,Occupational therapy service,"St Giles Home,65 Amy Road",NEWSTEAD,TAS,AUS,7250,-41.45206832885742,147.15884399414062,
Thrive Dietetics - Birtinya,Dietetics service,"Birtinya Medical Centre,8 THE AVENUE",BIRTINYA,QLD,AUS,4575,-26.7399861,153.11644802,
The Exercise Physiology Group  @ MOC,Exercise physiology service,"Druids House,417 419 Swanston Street",MELBOURNE,VIC,AUS,3000,-37.808834075927734,144.96304321289062,
Monash Health - Casey Hospital,Mental health service,62-70 Kangan Drive,BERWICK,VIC,AUS,3806,-38.045238,145.345993,
DJM Psychological Services,Psychology service,"Chapel Suite,Shop 3,20-34 Wyndham Street",ALEXANDRIA,NSW,AUS,2015,-33.8960075378418,151.19839477539062,
Dr Jean Lightbody,Clinical psychology service,"Citipods,Suite 4,249 Scottsdale Drive",ROBINA,QLD,AUS,4226,-28.089876,153.390471,
Ballarat-Talking Cure,Psychology service,50 St Andrews Place,LAKE GARDENS,VIC,AUS,3355,-37.54594039916992,143.8105926513672,
Sydney GP Group,General practice service,"Kingswood Park Village,Shop 4,7-11 Caloola Avenue",PENRITH,NSW,AUS,2750,-33.743068,150.713131,
Newtown Family Chiropractic,Psychology service,2 King Street,NEWTOWN,NSW,AUS,2042,-33.89240264892578,151.1875762939453,
Warnbro Sound Speech Pathology,Speech and language therapy service,Confidential Address,WARNBRO,WA,AUS,6169,-32.32688522338867,115.75872039794922,
MK Movement Exercise Physiology - Sunshine,Exercise physiology service,"Sunshine Leisure Centre,5 Kennedy St",SUNSHINE,VIC,AUS,3020,-37.784157,144.834667,
